ResourceProvider,ResourceType,Description,Operation
Microsoft.ADHybridHealthService,services,Reads the server instance in the service.,Microsoft.ADHybridHealthService/services/servicemembers/read
Microsoft.ADHybridHealthService,services,Add or updates monitoring configuration for a service.,Microsoft.ADHybridHealthService/services/monitoringconfiguration/write
Microsoft.ADHybridHealthService,services,Add or updates monitoring configurations for a service.,Microsoft.ADHybridHealthService/services/monitoringconfigurations/write
Microsoft.ADHybridHealthService,services,Creates or updates a server instance in the service.,Microsoft.ADHybridHealthService/services/servicemembers/action
Microsoft.ADHybridHealthService,services,Creates a service instance in the tenant.,Microsoft.ADHybridHealthService/services/write
Microsoft.ADHybridHealthService,services,Deletes a service instance in the tenant.,Microsoft.ADHybridHealthService/services/delete
Microsoft.ADHybridHealthService,services,Given a service, this API gets the aggregated view for metrics for a given service.For example
Microsoft.ADHybridHealthService,services,Gets alerts feedback for a given service and server.,Microsoft.ADHybridHealthService/services/feedbacktype/feedback/read
Microsoft.ADHybridHealthService,services,Gets all Risky IP report URIs for the last 7 days.,Microsoft.ADHybridHealthService/services/reports/blobUris/read
Microsoft.ADHybridHealthService,services,Given a service, this API gets the average for metrics for a given service.For example
Microsoft.ADHybridHealthService,services,Given a service, this API gets the metrics information.For example
Microsoft.ADHybridHealthService,services,Gets the monitoring configurations for a given service.,Microsoft.ADHybridHealthService/services/monitoringconfigurations/read
Microsoft.ADHybridHealthService,services,This API gets the list of all onboarded services for a premium tenant.,Microsoft.ADHybridHealthService/services/premiumcheck/read
Microsoft.ADHybridHealthService,services,Gets report of top 50 users with bad password errors from last 7 days,Microsoft.ADHybridHealthService/services/reports/details/read
Microsoft.ADHybridHealthService,services,Gets the list of supported metrics for a given service. For example Extranet Account Lockouts, Total Failed Requests
Microsoft.ADHybridHealthService,services,Generates Risky IP report and returns a URI pointing to it.,Microsoft.ADHybridHealthService/services/reports/generateBlobUri/action
Microsoft.ADHybridHealthService,services,Reads the bad IPs which attempted to access the service.,Microsoft.ADHybridHealthService/services/ipAddressAggregates/read
Microsoft.ADHybridHealthService,services,Reads alarm thresholds for bad IPs.,Microsoft.ADHybridHealthService/services/ipAddressAggregateSettings/read
Microsoft.ADHybridHealthService,services,Reads the service instances in the tenant.,Microsoft.ADHybridHealthService/services/read
Microsoft.ADHybridHealthService,services,Writes alarm thresholds for bad IPs.,Microsoft.ADHybridHealthService/services/ipAddressAggregateSettings/write
Microsoft.Advisor,configurations,Creates/updates configuration,Microsoft.Advisor/configurations/write
Microsoft.Advisor,configurations,Get configurations,Microsoft.Advisor/configurations/read
Microsoft.Advisor,generateRecommendations,Gets generate recommendations status,Microsoft.Advisor/generateRecommendations/read
Microsoft.Advisor,generateRecommendations,Gets generate recommendations status,Microsoft.Advisor/generateRecommendations/action
Microsoft.Advisor,none,Get Metadata,Microsoft.Advisor/metadata/read
Microsoft.Advisor,none,Registers the subscription for the Microsoft Advisor,Microsoft.Advisor/register/action
Microsoft.Advisor,none,Unregisters the subscription for the Microsoft Advisor,Microsoft.Advisor/unregister/action
Microsoft.Advisor,operations,Gets the operations for the Microsoft Advisor,Microsoft.Advisor/operations/read
Microsoft.Advisor,recommendations,New recommendation is available in Microsoft Advisor,Microsoft.Advisor/recommendations/available/action
Microsoft.Advisor,recommendations,Reads recommendations,Microsoft.Advisor/recommendations/read
Microsoft.Advisor,recommendations,Creates/updates suppressions,Microsoft.Advisor/recommendations/suppressions/write
Microsoft.Advisor,recommendations,Deletes suppression,Microsoft.Advisor/recommendations/suppressions/delete
Microsoft.Advisor,recommendations,Gets suppressions,Microsoft.Advisor/recommendations/suppressions/read
Microsoft.Advisor,suppressions,Creates/updates suppressions,Microsoft.Advisor/suppressions/write
Microsoft.Advisor,suppressions,Deletes suppression,Microsoft.Advisor/suppressions/delete
Microsoft.Advisor,suppressions,Gets suppressions,Microsoft.Advisor/suppressions/read
Microsoft.AgFoodPlatform,checkNameAvailability,n/a,n/a
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform attachments.,Microsoft.AgFoodPlatform/attachments/write
Microsoft.AgFoodPlatform,none,Deletes an existing AgFoodPlatform attachments resource.,Microsoft.AgFoodPlatform/attachments/delete
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform attachments resource(s).,Microsoft.AgFoodPlatform/attachments/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform boundaries.,Microsoft.AgFoodPlatform/boundaries/write
Microsoft.AgFoodPlatform,none,Deletes an existing AgFoodPlatform boundaries resource.,Microsoft.AgFoodPlatform/boundaries/delete
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform boundaries resource(s).,Microsoft.AgFoodPlatform/boundaries/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform boundariesCascadeDeleteJobs.,Microsoft.AgFoodPlatform/boundariesCascadeDeleteJobs/write
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform boundariesCascadeDeleteJobs resource(s).,Microsoft.AgFoodPlatform/boundariesCascadeDeleteJobs/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform crop varieties.,Microsoft.AgFoodPlatform/cropVarieties/write
Microsoft.AgFoodPlatform,none,Deletes an existing AgFoodPlatform crop varieties resource.,Microsoft.AgFoodPlatform/cropVarieties/delete
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform crop varieties resource(s).,Microsoft.AgFoodPlatform/cropVarieties/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform crops.,Microsoft.AgFoodPlatform/crops/write
Microsoft.AgFoodPlatform,none,Deletes an existing AgFoodPlatform crops resource.,Microsoft.AgFoodPlatform/crops/delete
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform crops resource(s).,Microsoft.AgFoodPlatform/crops/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform Extensions.,Microsoft.AgFoodPlatform/farmBeats/extensions/write
Microsoft.AgFoodPlatform,none,Deletes an existing AgFoodPlatform Extensions resource.,Microsoft.AgFoodPlatform/farmBeats/extensions/delete
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform Extensions resource(s).,Microsoft.AgFoodPlatform/farmBeats/extensions/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform FarmBeats.,Microsoft.AgFoodPlatform/farmBeats/write
Microsoft.AgFoodPlatform,none,Deletes an existing AgFoodPlatform FarmBeats resource.,Microsoft.AgFoodPlatform/farmBeats/delete
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform FarmBeats resource(s).,Microsoft.AgFoodPlatform/farmBeats/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform farmers.,Microsoft.AgFoodPlatform/farmers/write
Microsoft.AgFoodPlatform,none,Deletes an existing AgFoodPlatform farmers resource.,Microsoft.AgFoodPlatform/farmers/delete
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform farmers resource(s).,Microsoft.AgFoodPlatform/farmers/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform farmersCascadeDeleteJobs.,Microsoft.AgFoodPlatform/farmersCascadeDeleteJobs/write
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform farmersCascadeDeleteJobs resource(s).,Microsoft.AgFoodPlatform/farmersCascadeDeleteJobs/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform farms.,Microsoft.AgFoodPlatform/farms/write
Microsoft.AgFoodPlatform,none,Deletes an existing AgFoodPlatform farms resource.,Microsoft.AgFoodPlatform/farms/delete
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform farms resource(s).,Microsoft.AgFoodPlatform/farms/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform farmsCascadeDeleteJobs.,Microsoft.AgFoodPlatform/farmsCascadeDeleteJobs/write
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform farmsCascadeDeleteJobs resource(s).,Microsoft.AgFoodPlatform/farmsCascadeDeleteJobs/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform fields.,Microsoft.AgFoodPlatform/fields/write
Microsoft.AgFoodPlatform,none,Deletes an existing AgFoodPlatform fields resource.,Microsoft.AgFoodPlatform/fields/delete
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform fields resource(s).,Microsoft.AgFoodPlatform/fields/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform fieldsCascadeDeleteJobs.,Microsoft.AgFoodPlatform/fieldsCascadeDeleteJobs/write
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform fieldsCascadeDeleteJobs resource(s).,Microsoft.AgFoodPlatform/fieldsCascadeDeleteJobs/read
Microsoft.AgFoodPlatform,none,Cancels an existing AgFoodPlatform job.,Microsoft.AgFoodPlatform/jobs/cancel/action
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform jobs.,Microsoft.AgFoodPlatform/jobs/write
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform jobs resource(s).,Microsoft.AgFoodPlatform/jobs/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform satelliteDataIngestionJobs.,Microsoft.AgFoodPlatform/scenessatelliteDataIngestionJobs/write
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform satelliteDataIngestionJobs resource(s).,Microsoft.AgFoodPlatform/scenessatelliteDataIngestionJobs/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform scenes.,Microsoft.AgFoodPlatform/scenes/write
Microsoft.AgFoodPlatform,none,Deletes an existing AgFoodPlatform scenes resource.,Microsoft.AgFoodPlatform/scenes/delete
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform scenes resource(s).,Microsoft.AgFoodPlatform/scenes/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform seaonalFieldsCascadeDeleteJobs.,Microsoft.AgFoodPlatform/seaonalFieldsCascadeDeleteJobs/write
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform seaonalFieldsCascadeDeleteJobs resource(s).,Microsoft.AgFoodPlatform/seaonalFieldsCascadeDeleteJobs/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform seasonal fields.,Microsoft.AgFoodPlatform/seasonalFields/write
Microsoft.AgFoodPlatform,none,Deletes an existing AgFoodPlatform seasonal fields resource.,Microsoft.AgFoodPlatform/seasonalFields/delete
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform seasonal fields resource(s).,Microsoft.AgFoodPlatform/seasonalFields/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform seasons.,Microsoft.AgFoodPlatform/seasons/write
Microsoft.AgFoodPlatform,none,Deletes an existing AgFoodPlatform seasons resource.,Microsoft.AgFoodPlatform/seasons/delete
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform seasons resource(s).,Microsoft.AgFoodPlatform/seasons/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform weatherDataDeletionJobs.,Microsoft.AgFoodPlatform/weathersweatherDataDeletionJobs/write
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform weatherDataDeletionJobs resource(s).,Microsoft.AgFoodPlatform/weathersweatherDataDeletionJobs/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform weatherDataIngestionJobs.,Microsoft.AgFoodPlatform/weathersweatherDataIngestionJobs/write
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform weatherDataIngestionJobs resource(s).,Microsoft.AgFoodPlatform/weathersweatherDataIngestionJobs/read
Microsoft.AgFoodPlatform,none,Creates or Updates AgFoodPlatform weathers.,Microsoft.AgFoodPlatform/weathers/write
Microsoft.AgFoodPlatform,none,Deletes an existing AgFoodPlatform weathers resource.,Microsoft.AgFoodPlatform/weathers/delete
Microsoft.AgFoodPlatform,none,Gets or Lists existing AgFoodPlatform weathers resource(s).,Microsoft.AgFoodPlatform/weathers/read
Microsoft.AgFoodPlatform,none,Checks that resource name is valid and is not in use.,Microsoft.AgFoodPlatform/locations/checkNameAvailability/action
Microsoft.AgFoodPlatform,none,Registers the subscription for the AgFoodPlatform Resource Provider.,Microsoft.AgFoodPlatform/register/action
Microsoft.AgFoodPlatform,none,Unregisters the subscription for the AgFoodPlatform Resource Provider.,Microsoft.AgFoodPlatform/unregister/action
Microsoft.AgFoodPlatform,operations,List all operations in Microsoft AgFoodPlatform resource provider.,Microsoft.AgFoodPlatform/operations/read
Microsoft.AISupercomputer,images,n/a,n/a
Microsoft.AISupercomputer,locations,n/a,n/a
Microsoft.AISupercomputer,locations/instanceTypeSeries,n/a,n/a
Microsoft.AISupercomputer,locations/instanceTypeSeries/instanceTypes,n/a,n/a
Microsoft.AISupercomputer,locations/operationResults,n/a,n/a
Microsoft.AISupercomputer,none,Register to Singularity,Microsoft.AISupercomputer/register/action
Microsoft.AISupercomputer,none,Unregister from Singularity,Microsoft.AISupercomputer/unregister/action
Microsoft.AISupercomputer,none,Adds or updates Singularity account quota policy,Microsoft.AISupercomputer/accounts/accountquotapolicies/write
Microsoft.AISupercomputer,none,Lists Singularity account quota policies,Microsoft.AISupercomputer/accounts/accountquotapolicies/read
Microsoft.AISupercomputer,none,Removes Singularity account quota policy,Microsoft.AISupercomputer/accounts/accountquotapolicies/delete
Microsoft.AISupercomputer,none,Adds or updates Singularity account,Microsoft.AISupercomputer/accounts/write
Microsoft.AISupercomputer,none,Lists Singularity accounts,Microsoft.AISupercomputer/accounts/read
Microsoft.AISupercomputer,none,Removes Singularity Account,Microsoft.AISupercomputer/accounts/delete
Microsoft.AISupercomputer,none,Adds or updates Singularity group policy resource limit policy,Microsoft.AISupercomputer/accounts/groupPolicies/write
Microsoft.AISupercomputer,none,Action to check for user access to delete a job linked to Singularity group policy,Microsoft.AISupercomputer/accounts/groupPolicies/removejob/action
Microsoft.AISupercomputer,none,Action to check for user access to get SAS token for a job linked to Singularity group policy,Microsoft.AISupercomputer/accounts/groupPolicies/createjobsastoken/action
Microsoft.AISupercomputer,none,Action to check for user access to resume a job linked to Singularity group policy,Microsoft.AISupercomputer/accounts/groupPolicies/resumejob/action
Microsoft.AISupercomputer,none,Action to check for user access to suspend a job linked to Singularity group policy,Microsoft.AISupercomputer/accounts/groupPolicies/suspendjob/action
Microsoft.AISupercomputer,none,Action to check for user access to write a job linked to Singularity group policy,Microsoft.AISupercomputer/accounts/groupPolicies/writejob/action
Microsoft.AISupercomputer,none,Lists Singularity Group policies,Microsoft.AISupercomputer/accounts/groupPolicies/read
Microsoft.AISupercomputer,none,Removes Singularity Group Policy,Microsoft.AISupercomputer/accounts/groupPolicies/delete
Microsoft.AISupercomputer,none,Adds or updates Singularity job,Microsoft.AISupercomputer/accounts/jobs/write
Microsoft.AISupercomputer,none,Approves Singularity Job,Microsoft.AISupercomputer/accounts/jobs/approve/action
Microsoft.AISupercomputer,none,Create SAS token for Singularity Job,Microsoft.AISupercomputer/accounts/jobs/createSasToken/action
Microsoft.AISupercomputer,none,Lists Singularity jobs,Microsoft.AISupercomputer/accounts/jobs/read
Microsoft.AISupercomputer,none,Removes Singularity Job,Microsoft.AISupercomputer/accounts/jobs/delete
Microsoft.AISupercomputer,none,Removes Singularity Job,Microsoft.AISupercomputer/accounts/jobs/remove/action
Microsoft.AISupercomputer,none,Resumes Singularity Job,Microsoft.AISupercomputer/accounts/jobs/resume/action
Microsoft.AISupercomputer,none,Suspends Singularity Job,Microsoft.AISupercomputer/accounts/jobs/suspend/action
Microsoft.AISupercomputer,none,Adds or updates Singularity storage container,Microsoft.AISupercomputer/accounts/storagecontainers/write
Microsoft.AISupercomputer,none,Lists Singularity storage containers,Microsoft.AISupercomputer/accounts/storagecontainers/read
Microsoft.AISupercomputer,none,Removes Singularity storage container,Microsoft.AISupercomputer/accounts/storagecontainers/delete
Microsoft.AISupercomputer,operations,Lists Singularity available operations,Microsoft.AISupercomputer/operations/read
Microsoft.AlertsManagement,actionRules,Delete action rule in a given subscription.,Microsoft.AlertsManagement/actionRules/delete
Microsoft.AlertsManagement,actionRules,Get all the action rules for the input filters.,Microsoft.AlertsManagement/actionRules/read
Microsoft.AlertsManagement,actionRules,Create or update action rule in a given subscription,Microsoft.AlertsManagement/actionRules/write
Microsoft.AlertsManagement,alerts,Get all diagnostics for the alert,Microsoft.AlertsManagement/alerts/diagnostics/read
Microsoft.AlertsManagement,alerts,Get history of the alert,Microsoft.AlertsManagement/alerts/history/read
Microsoft.AlertsManagement,alerts,Get all the alerts for the input filters.,Microsoft.AlertsManagement/alerts/read
Microsoft.AlertsManagement,alerts,Change the state of the alert.,Microsoft.AlertsManagement/alerts/changestate/action
Microsoft.AlertsManagement,alertsList,Get all the alerts for the input filters across subscriptions,Microsoft.AlertsManagement/alertsList/read
